30,0.0015,0.1,15,25,31,70,113
100,0.32,0.2,10,20,11,0,0
100,0.0012,4.7,25,50,4,5,0
100,0.0003816,5.5,25,50,0,0,0
1000,0.000015,0.75,28,37,245,350,2345
1000,0.000212,3.5,26,43,1855,266,0
1000,0.00003,4.6,25,50,238,340,2278
1000,0.000121,3,45,75,2513,2513,0
1000,0.00005,2.1,34,68,2025,0,0
10,0.008,1.7,42,85,0,0,0
10,0.004,2.3,15,25,0,0,0
1000,0.011,0,15,25,5,36,52
100,0.012,0,10,30,4,0,0
225,0.008,1.5,25,50,2.346,2.226,0
1,0.0012,0,0.1,0.1,910,13.965,0
1,0.000034,0,0.2,0.2,910,13.965,0
